thread_id,root_id,start_created_at,num_tweets,max_favorites,max_retweets,has_external_dependency,has_external_reply,has_external_quote,sample_text
1412509691662323713,1412509691662323713,Tue Jul 06 20:32:08 +0000 2021,5,24,2,0,0,0,Big projects tend to swamp small projects somehow. There’s some sort of feedback loop by which the biggest project wi...
1406038197008703491,1406038197008703491,Fri Jun 18 23:56:43 +0000 2021,34,22,1,0,0,0,Little thread on what’s one of the harder hands-on engineering things I’ve done in my life. A real test of dexterity ...
1411897640783024133,1411897640783024133,Mon Jul 05 04:00:04 +0000 2021,18,60,6,0,0,0,We have a panoramic view of LA skyline and it’s been relentless 180 degrees fireworks for an hour now
1411809078779670530,1411809078779670530,Sun Jul 04 22:08:09 +0000 2021,6,36,1,0,0,0,Outtake from my slack https://t.co/pRpu4IvxQ8
1411819930815635461,1411819930815635461,Sun Jul 04 22:51:16 +0000 2021,4,8,0,0,0,0,Trying out the Treeverse extension by @houshuang ht @RobertHaisfield and @AbhayPrasanna for the pointer. https://t.co...
1411767894988386305,1411767894988386305,Sun Jul 04 19:24:30 +0000 2021,5,10,1,0,0,0,Looks like US citizen travel to Iran is unfortunately kinda complex and constrained. I’d totally go to see the salt m...
1578539832623607809,1578539832623607809,Sat Oct 08 00:16:38 +0000 2022,4,10,0,0,0,0,If social media were Arda…  Shire: Twitter Rivendell: Instagram Numenor: Blogosphere Gondor: Substack Rohan: TikTok K...
1578516150291296256,1578516150291296256,Fri Oct 07 22:42:32 +0000 2022,9,11,1,0,0,0,So Numenorean humans are like 30% extra strength humans despite otherwise being coddled and weakened by luxury 🤔
1411336836585168898,1411336836585168898,Sat Jul 03 14:51:37 +0000 2021,6,44,2,0,0,0,42 years since Soviets invaded Afghanistan  32 years since they left  20 since the US invaded. Now 0 days since US le...
1411194311794827266,1411194311794827266,Sat Jul 03 05:25:17 +0000 2021,4,12,1,0,0,0,Tomorrow war is so bad
1410608891176505348,1410608891176505348,Thu Jul 01 14:39:02 +0000 2021,7,21,2,0,0,0,“When US oil prices quadrupled following the OPEC oil embargo…Burns argued that  since this had nothing to do with mo...
1410334442636283904,1410334442636283904,Wed Jun 30 20:28:28 +0000 2021,6,45,5,0,0,0,REALIST stack  Renewable power source Electric drives Additive-first manufacturing Lithium-based batteries Internet o...
1406798494921216000,1406798494921216000,Mon Jun 21 02:17:52 +0000 2021,20,18,1,0,0,0,Watching the first episode of Kevin can f himself. It’s really clever. Had to de a double take. It’s like Wandavision...
1410068962725941249,1410068962725941249,Wed Jun 30 02:53:33 +0000 2021,10,48,5,0,0,0,Can’t believe it’s already 2 years since I moved to LA.
1408285565875752967,1408285565875752967,Fri Jun 25 04:46:58 +0000 2021,17,32,2,0,0,0,well I have my new microscope and a set of pre-prepared slides... Once I set it up and learn to use it  I'll have com...
1409677094120943621,1409677094120943621,Tue Jun 29 00:56:24 +0000 2021,5,5,0,0,0,0,Linux mavens… what distro would you run on this old asus atom-based netbook (currently trying to install windows 10 o...
1409558475999350786,1409558475999350786,Mon Jun 28 17:05:03 +0000 2021,9,8,1,0,0,0,Off to an inauspicious start with the Beaglebone Blue. The network drivers won’t install on MacOS Catalina. Apparentl...
1408963273609814021,1408963273609814021,Sun Jun 27 01:39:56 +0000 2021,6,28,1,0,0,0,I only feel like drinking beer instead of bourbon when it gets really hot… kinda feeling like beer now
1578226526352392194,1578226526352392194,Fri Oct 07 03:31:40 +0000 2022,8,125,8,0,0,0,Is it just me or is this year full of what seem like unnecessary events? Like not even unforced errors  just shit tha...
1409185063812489221,1409185063812489221,Sun Jun 27 16:21:15 +0000 2021,20,198,13,0,0,0,Have you noticed that despite the supposed information overload problem the incidence rate of your “how did I not kno...
1409173865033441281,1409173865033441281,Sun Jun 27 15:36:45 +0000 2021,11,14,3,0,0,0,Latest @yak_collective newsletter https://t.co/1FLZzUq9ah  @jdbb @evanwolf and @necopinus are iterating on a really c...
1408935280501923843,1408935280501923843,Sat Jun 26 23:48:42 +0000 2021,4,38,0,0,0,0,I’ve moved computers less frequently than I’ve moved apartments  7 computers in 23y 23 apartments in 23y   This is th...
1408620849410691075,1408620849410691075,Sat Jun 26 02:59:16 +0000 2021,53,201,23,0,0,0,What’s the cheapest scientific instrument that can get an average amateur to the bleeding edge of discovery work? So ...
1408828857461796880,1408828857461796880,Sat Jun 26 16:45:49 +0000 2021,4,3,0,1,1,0,@GregHerczeg Thanks for the detailed response. I’ve linked it into main thread for visibility. I agree this is a powe...
1408480645324546053,1408480645324546053,Fri Jun 25 17:42:08 +0000 2021,62,199,19,0,0,0,I suspect one subconscious reason I'm interested in maker stuff right now is that I think we're entering a kind of ro...
1407160418129235974,1407160418129235974,Tue Jun 22 02:16:02 +0000 2021,6,93,7,0,0,0,Is this the “maker movement”?   🤔🦋 https://t.co/LmXAAvvVKC
1408318102190772235,1408318102190772235,Fri Jun 25 06:56:15 +0000 2021,8,70,2,0,0,0,Viral ambition essays seem to have gone out of fashion. Kinda cringe to even aim at that now. Substack has a professi...
1408095117156573190,1408095117156573190,Thu Jun 24 16:10:11 +0000 2021,24,72,6,0,0,0,Making myself a lesson plan for a Fall power-electronics 101 rotation. How the hell did I get through years of engine...
1407931491590447109,1407931491590447109,Thu Jun 24 05:20:00 +0000 2021,4,18,2,0,0,0,See the replies and further screenshots… the saga just goes on and on. https://t.co/yFYvHvxotg
1407502785411653632,1407502785411653632,Wed Jun 23 00:56:28 +0000 2021,4,44,8,0,0,0,🤯 strange cave painting compositions may in fact have been primitive movies  with the flickering firelight serving as...
1407441517363425280,1407441517363425280,Tue Jun 22 20:53:01 +0000 2021,5,9,0,0,0,0,I now possess a very fine collection of M3 bolts  nuts and washers in a wide assortment of sizes and variations (5-55...
1407382075431260163,1407382075431260163,Tue Jun 22 16:56:49 +0000 2021,12,20,0,0,0,0,I’ve been on a gigantic yak-shave over the last week  across 3 threads  53  61 and 62 in my meta-thread  linked end-t...
1407009538218205189,1407009538218205189,Mon Jun 21 16:16:29 +0000 2021,19,32,5,0,0,0,When a proto-network is strongly under your control/influence (eg network of stores you can release a product in  lar...
1407355631267319810,1407355631267319810,Tue Jun 22 15:11:44 +0000 2021,21,65,9,0,0,0,What’s the opposite of a network effect?   Not merely a negative network effect like a contagion or failure cascade. ...
1405588247556739076,1405588247556739076,Thu Jun 17 18:08:47 +0000 2021,37,130,9,0,0,0,My patience for project management level of procedural meta thinking is at a lifetime low... just wanna fingerspiutze...
1406281248864051204,1406281248864051204,Sat Jun 19 16:02:31 +0000 2021,22,44,4,0,0,0,This old @interfluidity article  Tax Price  Not Value  has been stuck in my brain since I first read it and I periodi...
1406104913722023942,1406104913722023942,Sat Jun 19 04:21:50 +0000 2021,4,30,1,0,0,0,I’m trundling along at 25mph in a 60mph zone
1405360046456721409,1405360046456721409,Thu Jun 17 03:02:00 +0000 2021,5,31,1,0,0,0,Horizontal integration of all my shit now at 90%. Only one property per media-tech layer and every layer a ribbonfarm...
1577903469360472064,1577903469360472064,Thu Oct 06 06:07:57 +0000 2022,8,185,13,0,0,0,How come there are so few actual city-states? Singapore  Monaco  Vatican… that’s it I think. UAE if you relax definit...
1404688678568349705,1404688678568349705,Tue Jun 15 06:34:13 +0000 2021,27,108,10,0,0,0,People always say “smartest people” and “artificial intelligence” in the same breath 🤔  There may be a slight circula...
1404821609106444288,1404821609106444288,Tue Jun 15 15:22:26 +0000 2021,5,24,0,0,0,0,Thought of an interesting question... if you made a list of interesting dead public/historical figures  how many of t...
